date,open,close,high,low,volume,code
2016-01-04,3725.86,3470.41,3726.24,3469.01,115370674.0,sh000300
2016-01-05,3382.18,3478.78,3518.22,3377.28,162116984.0,sh000300
2016-01-06,3482.41,3539.81,3543.74,3468.47,145966144.0,sh000300
2016-01-07,3481.15,3294.38,3481.15,3284.74,44102641.0,sh000300
2016-01-08,3371.87,3361.56,3418.85,3237.93,185959451.0,sh000300
2016-01-11,3303.12,3192.45,3342.48,3192.45,174638387.0,sh000300
2016-01-12,3214.82,3215.71,3242.25,3174.55,128225796.0,sh000300
2016-01-13,3240.48,3155.88,3257.3,3155.88,120666494.0,sh000300
2016-01-14,3076.64,3221.57,3226.66,3072.04,134537671.0,sh000300
2016-01-15,3200.89,3118.73,3216.8,3101.05,124601779.0,sh000300
2016-01-18,3068.23,3130.73,3165.62,3066.73,101128386.0,sh000300
2016-01-19,3132.7,3223.12,3227.91,3119.22,127653893.0,sh000300
2016-01-20,3204.22,3174.38,3225.95,3154.43,130650504.0,sh000300
2016-01-21,3136.38,3081.35,3202.54,3081.35,111189733.0,sh000300
2016-01-22,3114.9,3113.46,3132.17,3053.96,89951087.0,sh000300
2016-01-25,3129.03,3128.89,3149.33,3105.1,81540061.0,sh000300
2016-01-26,3099.6,2940.51,3106.53,2934.65,126933921.0,sh000300
2016-01-27,2953.18,2930.35,2963.54,2839.29,132229366.0,sh000300
2016-01-28,2909.33,2853.76,2941.89,2841.84,99222756.0,sh000300
2016-01-29,2855.6,2946.09,2965.31,2854.37,113304259.0,sh000300
2016-02-01,2939.04,2901.05,2944.52,2869.56,86795342.0,sh000300
2016-02-02,2901.53,2961.33,2972.43,2901.51,88601963.0,sh000300
2016-02-03,2931.29,2948.64,2954.71,2909.9,77389000.0,sh000300
2016-02-04,2960.33,2984.76,2999.21,2960.21,91779724.0,sh000300
2016-02-05,2982.06,2963.79,2988.36,2962.85,76850808.0,sh000300
2016-02-15,2888.43,2946.71,2961.49,2886.02,72919434.0,sh000300
2016-02-16,2962.19,3037.04,3042.09,2962.19,112579643.0,sh000300
2016-02-17,3034.09,3063.32,3065.78,3027.05,128291607.0,sh000300
2016-02-18,3079.53,3053.7,3093.51,3049.84,124401464.0,sh000300
2016-02-19,3047.94,3051.58,3065.97,3032.63,87338012.0,sh000300
2016-02-22,3083.93,3118.87,3128.21,3071.33,140946968.0,sh000300
2016-02-23,3117.2,3089.36,3119.22,3061.43,112567391.0,sh000300
2016-02-24,3077.61,3109.55,3109.55,3055.25,111782650.0,sh000300
2016-02-25,3104.41,2918.75,3104.44,2905.46,157829752.0,sh000300
2016-02-26,2942.1,2948.03,2964.39,2902.95,106949729.0,sh000300
