date,open,close,high,low,volume,code
2016-01-04,3536.59,3296.66,3538.69,3295.74,184418423.0,sh000001
2016-01-05,3196.65,3287.71,3328.14,3189.6,266882083.0,sh000001
2016-01-06,3291.19,3361.84,3362.97,3288.93,238886670.0,sh000001
2016-01-07,3309.66,3125.0,3309.66,3115.89,70569123.0,sh000001
2016-01-08,3194.63,3186.41,3235.45,3056.88,286440822.0,sh000001
2016-01-11,3131.85,3016.7,3166.22,3016.7,271643691.0,sh000001
2016-01-12,3026.16,3022.86,3047.66,2978.46,207659622.0,sh000001
2016-01-13,3041.11,2949.6,3059.01,2949.29,194282106.0,sh000001
2016-01-14,2874.05,3007.65,3012.29,2867.55,212905644.0,sh000001
2016-01-15,2988.05,2900.97,3001.71,2883.87,198721697.0,sh000001
2016-01-18,2847.54,2913.84,2945.45,2844.7,164699694.0,sh000001
2016-01-19,2914.41,3007.74,3012.07,2906.4,205279703.0,sh000001
2016-01-20,2993.01,2976.69,3016.28,2951.92,216505474.0,sh000001
2016-01-21,2934.39,2880.48,2998.79,2880.08,191675668.0,sh000001
2016-01-22,2911.11,2916.56,2931.36,2851.73,159810734.0,sh000001
2016-01-25,2934.08,2938.51,2955.78,2911.83,153039057.0,sh000001
2016-01-26,2907.72,2749.79,2911.99,2743.84,210836054.0,sh000001
2016-01-27,2756.08,2735.56,2768.77,2638.3,215722046.0,sh000001
2016-01-28,2711.16,2655.66,2740.54,2647.49,171120280.0,sh000001
2016-01-29,2652.85,2737.6,2755.37,2649.79,186673106.0,sh000001
2016-02-01,2730.98,2688.85,2735.26,2655.62,156383744.0,sh000001
2016-02-02,2687.98,2749.57,2755.16,2687.98,158078211.0,sh000001
2016-02-03,2719.57,2739.25,2746.07,2696.88,148397217.0,sh000001
2016-02-04,2751.43,2781.02,2793.3,2751.31,170382018.0,sh000001
2016-02-05,2783.08,2763.49,2790.06,2762.16,141186284.0,sh000001
2016-02-15,2684.96,2746.2,2760.36,2682.09,129263932.0,sh000001
2016-02-16,2758.58,2836.57,2840.62,2758.58,195961614.0,sh000001
2016-02-17,2829.76,2867.34,2868.7,2824.36,216909925.0,sh000001
2016-02-18,2881.78,2862.89,2893.21,2857.7,219203873.0,sh000001
2016-02-19,2854.9,2860.02,2872.72,2840.49,163391413.0,sh000001
2016-02-22,2888.6,2927.18,2933.96,2880.35,232176042.0,sh000001
2016-02-23,2925.71,2903.33,2928.05,2872.28,199740663.0,sh000001
2016-02-24,2889.88,2928.9,2929.87,2872.27,213410384.0,sh000001
2016-02-25,2922.24,2741.25,2922.24,2729.85,270284416.0,sh000001
2016-02-26,2760.06,2767.21,2784.75,2715.87,191110472.0,sh000001
2016-02-29,2754.81,2687.98,2755.89,2638.96,207410709.0,sh000001
2016-03-01,2688.38,2733.17,2747.56,2668.76,187207443.0,sh000001
2016-03-02,2733.77,2849.68,2852.7,2732.54,270961783.0,sh000001
2016-03-03,2847.33,2859.76,2878.45,2840.87,287478210.0,sh000001
2016-03-04,2848.54,2874.15,2880.37,2808.85,312495169.0,sh000001
2016-03-07,2886.64,2897.34,2911.84,2871.35,217466836.0,sh000001
2016-03-08,2895.67,2901.39,2902.62,2802.56,233482661.0,sh000001
2016-03-09,2839.41,2862.56,2863.01,2811.72,183355383.0,sh000001
2016-03-10,2847.57,2804.73,2863.18,2803.48,138979461.0,sh000001
2016-03-11,2781.6,2810.31,2815.61,2772.55,127247554.0,sh000001
2016-03-14,2830.08,2859.5,2889.82,2823.03,194816030.0,sh000001
2016-03-15,2853.98,2864.37,2865.79,2819.79,163386667.0,sh000001
2016-03-16,2858.71,2870.43,2881.53,2854.19,186492535.0,sh000001
2016-03-17,2875.41,2904.83,2921.0,2857.19,200290213.0,sh000001
2016-03-18,2915.52,2955.15,2971.55,2908.74,313332735.0,sh000001
2016-03-21,2978.46,3018.8,3028.32,2973.76,352400438.0,sh000001
2016-03-22,3001.63,2999.36,3019.1,2988.43,270377322.0,sh000001
2016-03-23,2991.17,3009.96,3012.56,2980.86,216977462.0,sh000001
2016-03-24,2986.8,2960.97,2998.15,2960.54,237006403.0,sh000001
2016-03-25,2956.2,2979.43,2981.41,2952.11,175074344.0,sh000001
2016-03-28,2988.01,2957.82,3008.17,2948.53,202021241.0,sh000001
2016-03-29,2956.71,2919.83,2962.2,2905.25,182965345.0,sh000001
2016-03-30,2941.22,3000.65,3001.11,2941.22,210371451.0,sh000001
2016-03-31,3009.37,3003.92,3023.41,2992.92,220413445.0,sh000001
2016-04-01,2997.09,3009.53,3009.67,2956.25,206545866.0,sh000001
2016-04-05,3000.94,3053.07,3057.33,2993.15,256730344.0,sh000001
2016-04-06,3039.74,3050.59,3059.79,3029.0,232262051.0,sh000001
2016-04-07,3058.34,3008.42,3062.36,3007.06,220919506.0,sh000001
2016-04-08,2988.2,2984.96,2996.17,2960.46,187904633.0,sh000001
2016-04-11,3006.91,3033.96,3048.98,3006.91,220018324.0,sh000001
2016-04-12,3031.3,3023.65,3036.82,3001.32,182718668.0,sh000001
2016-04-13,3041.36,3066.64,3097.16,3041.36,310003246.0,sh000001
2016-04-14,3080.09,3082.36,3086.7,3056.99,208237830.0,sh000001
2016-04-15,3085.03,3078.12,3089.95,3066.87,189613051.0,sh000001
2016-04-18,3058.46,3033.66,3058.46,3022.97,183304512.0,sh000001
2016-04-19,3047.13,3042.82,3054.5,3024.9,156533200.0,sh000001
2016-04-20,3050.38,2972.58,3055.69,2905.05,283144219.0,sh000001
2016-04-21,2954.37,2952.89,2990.67,2943.46,189406849.0,sh000001
2016-04-22,2933.03,2959.24,2960.21,2926.78,137211668.0,sh000001
2016-04-25,2949.97,2946.67,2954.09,2917.02,125856243.0,sh000001
2016-04-26,2944.72,2964.7,2965.43,2933.97,117711604.0,sh000001
2016-04-27,2967.19,2953.67,2976.02,2949.43,130867640.0,sh000001
2016-04-28,2955.74,2945.59,2959.51,2916.37,138663274.0,sh000001
2016-04-29,2935.38,2938.32,2950.58,2930.36,109310628.0,sh000001
2016-05-03,2940.39,2992.64,2993.53,2929.81,168703643.0,sh000001
2016-05-04,2983.03,2991.27,3004.42,2978.33,165407106.0,sh000001
2016-05-05,2987.02,2997.84,2999.12,2977.2,144831383.0,sh000001
2016-05-06,2998.4,2913.25,3003.59,2913.04,206796498.0,sh000001
2016-05-09,2896.16,2832.11,2896.16,2821.83,180378330.0,sh000001
2016-05-10,2822.33,2832.59,2845.24,2820.16,120829310.0,sh000001
2016-05-11,2843.54,2837.04,2857.25,2818.7,135795466.0,sh000001
2016-05-12,2812.11,2835.86,2839.28,2781.24,136337655.0,sh000001
2016-05-13,2828.46,2827.11,2850.09,2814.11,114319710.0,sh000001
2016-05-16,2816.78,2850.86,2851.23,2804.99,114653592.0,sh000001
2016-05-17,2850.93,2843.68,2860.32,2832.46,123369064.0,sh000001
2016-05-18,2828.18,2807.51,2828.26,2781.42,140487826.0,sh000001
2016-05-19,2802.31,2806.91,2829.4,2801.55,111595071.0,sh000001
